Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
14:33:45,NaN,0,0,21,0
14:12:19,NaN,3,45,133,0
19:34:48,NaN,7,105,111,0
16:15:28,NaN,1,15,39,0
11:07:56,NaN,3,45,88,0
12:00:50,NaN,3,45,80,0
18:48:05,NaN,5,75,161,0
18:29:49,NaN,3,45,70,0
18:37:29,NaN,7,105,124,0
18:47:56,NaN,6,90,77,0
14:34:45,NaN,0,0,23,0
20:03:01,NaN,4,60,121,0
20:06:56,NaN,7,105,127,0
15:15:23,NaN,7,105,87,0
20:09:44,NaN,1,15,22,0
11:29:31,NaN,3,45,61,0
19:22:07,NaN,6,90,86,0
19:54:33,NaN,0,0,81,0
20:03:45,NaN,1,15,74,0
12:59:02,NaN,4,60,101,0
13:26:40,NaN,7,105,90,0
18:41:18,NaN,2,30,61,0
19:57:30,NaN,7,105,65,0
18:05:52,NaN,3,45,89,0
19:30:45,NaN,6,90,108,0
11:08:38,NaN,3,45,79,0
18:33:13,NaN,1,15,62,0
12:00:55,NaN,3,45,98,0
18:08:47,NaN,3,45,129,0
20:00:51,NaN,0,0,104,0
11:05:21,NaN,1,15,77,0
19:28:12,NaN,5,75,125,0
18:07:39,NaN,1,15,143,0
19:27:45,NaN,3,45,91,0
19:58:26,NaN,0,0,21,0
19:21:58,NaN,3,45,64,0
