Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
13:12:48,NaN,6,90,124,0
18:44:42,NaN,5,75,70,0
18:46:25,NaN,5,75,96,0
16:50:39,NaN,3,45,33,0
13:20:03,NaN,4,60,88,0
19:31:06,NaN,14,2430,140,0
14:05:00,NaN,3,45,60,0
18:05:39,NaN,9,505,102,0
11:10:29,NaN,0,0,55,0
19:22:33,NaN,8,120,106,0
11:16:12,NaN,1,15,89,0
11:12:48,NaN,5,75,72,0
18:43:32,NaN,7,105,102,0
12:08:10,NaN,1,15,88,0
17:12:22,NaN,4,60,61,0
19:03:29,NaN,12,2100,115,0
17:19:08,NaN,7,105,95,0
18:19:17,NaN,7,105,137,0
17:45:02,NaN,10,1000,112,0
13:45:31,NaN,7,105,89,0
18:03:23,NaN,10,500,131,0
15:11:49,NaN,13,565,139,0
18:59:01,NaN,0,0,77,0
12:16:05,NaN,8,120,65,0
17:04:05,NaN,13,2415,102,0
18:58:50,NaN,7,425,65,0
14:26:31,NaN,4,60,86,0
15:09:37,NaN,3,45,37,0
17:32:34,NaN,12,2100,127,0
13:43:51,NaN,6,90,88,0
18:43:32,NaN,8,120,99,0
14:04:22,NaN,3,45,84,0
18:41:50,NaN,9,505,78,0
12:12:04,NaN,9,505,99,0
11:14:10,NaN,6,90,75,0
16:47:16,NaN,6,90,97,0
